Year,CO2_Wm-2,CH4_Wm-2,N2O_Wm-2,Minor_GHGs_Wm-2,TropO3_Wm-2,StratO3_Wm-2,StratH2O_CH4ox_Wm-2,Contrails,Aerosols,SnowBC_Wm-2,Landuse_Wm-2,Volcanic_Wm-2,Solar_Wm-2
1775.0,0.001956138528898724,0.004490392275169096,0.0006915077570998294,-5.1893733447343494e-09,0.00416594149774813,-0.0,0.0005388470730202915,0.0,-0.01998347040272641,0.0017183708776267,-0.00033409167043121994,0.106355692,-0.038
1776.0,0.002280969925912945,0.004905808523197169,0.0007597861951596134,-5.4778068501804e-09,0.0048886685636857444,-0.0,0.0005886970227836603,0.0,-0.021818903387991365,0.0018528382200247218,-0.00040091000383473,0.107048,-0.045
1777.0,0.0026263044089013567,0.0053091808765810084,0.0008273128845812544,-5.790272924727447e-09,0.00559987425405268,-0.0,0.000637101705189721,0.0,-0.02365088338958712,0.0019878230407911,-0.00047380273201156996,0.107048,-0.036
1778.0,0.002991859584381133,0.005699625195633449,0.0008942313066159094,-6.12685329656415e-09,0.006244736091643869,-0.0,0.0006839550234760139,0.0,-0.025479439551752397,0.0021233414091470955,-0.0005527698538238499,0.060663385,0.017
1779.0,0.0033773254802843466,0.006076235938039042,0.0009608206352008851,-6.48760037267948e-09,0.006845557225164289,-0.0,0.0007291483125646851,0.0,-0.027304600568182368,0.00225940978986403,-0.0006378113692715699,0.057894154,-0.034
1780.0,0.0037818363410264274,0.006436301906855859,0.0010271524469953027,-6.872565484606242e-09,0.007635675028419131,-0.0,0.0007723562288227031,0.0,-0.029126395963966763,0.0023960451915945613,-0.00072892727949262,0.094586462,-0.069
1781.0,0.004214076852182853,0.006774768838363799,0.0010932293665358397,-7.281790615309091e-09,0.008366593790076388,-0.0,0.0008129722606036559,0.0,-0.03094958890766017,0.002533265166872682,-0.0008261175833491099,0.104278769,-0.057
1782.0,0.004663145282687587,0.007089917391457023,0.0011589855366206177,-7.715319317092906e-09,0.008974066669449433,-0.0,0.0008507900869748427,0.0,-0.03276474108013795,0.0026710877626699627,-0.0009293822808410398,0.106355692,-0.028
1783.0,0.005130546788456678,0.007386356253996122,0.0012244922836976814,-8.173203310420264e-09,0.009449356007956593,-0.0,0.0008863627504795347,0.0,-0.03457661560708188,0.002809531668726823,-0.0010387213731062998,-5.332413538,-0.065
1784.0,0.005538733745320474,0.007671109610793887,0.0012900256904557368,-8.655491251275295e-09,0.0113876865738648,-0.0,0.0009205331532952664,0.0,-0.03638524246493591,0.0029486160197775032,-0.0011541348590069999,-0.254336615,-0.059
1785.0,0.006001495143872829,0.007951247887263991,0.001355722165641792,-9.162231729050064e-09,0.011937104190024242,-0.0,0.0009541497464716789,0.0,-0.038190651877556256,0.003088360692212608,-0.0012756227430946996,0.023278769,-0.046
1786.0,0.006499734333779388,0.008233805592337062,0.0014216488044378444,-9.69347619385985e-09,0.012488044850112253,-0.0,0.0009880566710804475,0.0,-0.03999287277480283,0.0032287860568603216,-0.0014031850139904997,0.088355692,-0.022
1787.0,0.00702671545742525,0.008525862353991888,0.0014875983925148883,-1.0249284739643371e-08,0.013042204445953824,-0.0,0.0010231034824790266,0.0,-0.04179193497200656,0.0033699132756489494,-0.0015368216830732996,0.105663385,-0.001
