Year,CO2_ppm,CH4_ppb,N2O_ppb,CF4_ppt,C2F6_ppt,C6F14_ppt,HFC23_ppt,HFC32_ppt,HFC43_10_ppt,HFC125_ppt,HFC134a_ppt,HFC143a_ppt,HFC227ea_ppt,HFC245fa_ppt,SF6_ppt,CFC_11_ppt,CFC_12_ppt,CFC_113_ppt,CFC_114_ppt,CFC_115_ppt,CARB_TET_ppt,MCF_ppt,HCFC_22_ppt,HCFC_141_ppt,HCFC_142_ppt,HALON1211_ppt,HALON1202_ppt,HALON1301_ppt,HALON2402_ppt,CH3BR_ppt,CH3CL_ppt
1791.0,278.5036932159105,735.4518964347875,273.5164020936685,34.49689915044801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1792.0,278.53802782716144,736.0240593230968,273.5364342009233,34.496891600368336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1793.0,278.5732860323622,736.6308992542065,273.55661070184624,34.49688377325263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1794.0,278.609440302647,737.2694783684244,273.57701107661705,34.496875668273056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1795.0,278.64634737566917,737.9369467592946,273.59767387788185,34.49686728466593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1796.0,278.6842505315625,738.630323710968,273.6185970676032,34.49685862160347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1797.0,278.722798762957,739.3467584630627,273.6397786285453,34.496849678193804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1798.0,278.7624114846594,740.0833421613173,273.6612165641027,34.496840453545076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1799.0,278.8030259326368,740.8371851775916,273.6829693142415,34.49683094676545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1800.0,278.8450536326003,741.6105865422282,273.7050948419711,34.49682115696311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1801.0,278.88785355875325,742.4155358562845,273.7276103588551,34.49681108311804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
1802.0,278.9323050038622,743.2619640392046,273.75051280112996,34.49680072417821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.097501287159844,547.9956352013023
